onet_soc_code,synonyms,tasks
43-3021.00,"Billing Clerk, Billing Coordinator, Pre-Audit Clerk, Statement Clerk","Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods."
51-2092.00,"Assembler, Assembly Line Machine Operator, Assembly Line Worker, Assembly Technician","Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team."
17-2199.00,"We're sorry, the requested page could not be found. Please try the following:",
29-2036.00,"CMD (Certified Medical Dosimetrist), Dosimetrist, Medical Dosimetrist, Medical Physicist","Generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team."
17-3029.01,"NDE Technician (Non-Destructive Evaluation Technician), NDT Specialist (Non-Destructive Testing Specialist), NDT Technical Specialist (Non-Destructive Testing Technical Specialist), NDT Technician (Non-Destructive Testing Technician)","Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment."
25-1062.00,"Assistant Professor, Associate Professor, Professor, Women's Studies Professor","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
19-2043.00,"Groundwater Consultant, Hydrogeologist, Hydrologist, Research Hydrologist","Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere."
11-1021.00,"General Manager (GM), Operations Director, Operations Manager, Store Manager","Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."
27-1022.00,"Apparel Designer, Costume Designer, Designer, Fashion Designer",Design clothing and accessories. Create original designs or adapt fashion trends.
31-9092.00,"Certified Medical Assistant (CMA), Chiropractor Assistant, Doctor's Assistant, Registered Medical Assistant (RMA)","Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician."
43-4141.00,"Financial Services Representative, Member Service Representative, New Accounts Representative, Personal Banker",Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.
33-9099.02,"Loss Prevention Agent, Loss Prevention Associate (LPA), Loss Prevention Detective, Loss Prevention Officer","Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets."
53-6031.00,"Attendant, Fuel Dock Attendant, Gas Attendant, Service Station Attendant","Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires."
17-2199.03,"Energy Efficiency Engineer, Energy Engineer, Industrial Energy Engineer, Test and Balance Engineer","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement."
49-3092.00,"Master Certified RV Technician (Master Certified Recreational Vehicle Technician), RV Repair Technician (Recreational Vehicle Repair Technician), RV Service Technician (Recreational Vehicle Service Technician), RV Technician (Recreational Vehicle Technician)","Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions."
35-1012.00,"Cafeteria Manager, Dietary Supervisor, Food Service Supervisor, Kitchen Manager",Directly supervise and coordinate activities of workers engaged in preparing and serving food.
43-5021.00,"Courier, Driver, Laboratory Courier, Messenger","Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance."
15-1299.09,"Cloud Product Director, Cybersecurity Project Manager, IT Manager (Information Technology Manager), IT Project Manager (Information Technology Project Manager)","Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met."
31-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
25-3041.00,"Academic Coach, Academic Guidance Specialist, Professional Tutor, Tutor",Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.
51-3091.00,"Coffee Roaster, Machine Operator, Roaster, Roasterman","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
25-1064.00,"Associate Professor, Geography Instructor, Geography Professor, Professor",Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
19-5011.00,"Industrial Hygiene Consultant, Industrial Hygienist, Safety Consultant, Safety Specialist","Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector."
17-3023.00,"Electronics Engineering Technician, Engineering Technician (Engineering Tech), Engineering Technologist, Technologist","Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions."
47-2072.00,"Pile Driver, Pile Driver Operator, Pile Driving Operator","Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers."
41-9091.00,"Direct Sales Coach, Door-to-Door Sales Trainer, Independent Sales Associate, Independent Sales Representative",Sell goods or services door-to-door or on the street.
13-1081.02,"Logistics Analyst, Logistics Management Analyst, Supply Chain Analyst, Transportation Analyst","Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."
29-2057.00,"Certified Ophthalmic Surgical Assistant, Certified Ophthalmic Technician (COT), Ophthalmic Assistant, Ophthalmic Tech (Ophthalmic Technician)","Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses."
51-9071.06,"Diamond Cutter, Diamond Setter, Gemologist, Lapidarist","Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools."
25-1031.00,"Architecture Professor, Assistant Professor, Associate Professor, Professor","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
17-2161.00,"Engineer, Nuclear Engineer, Nuclear Licensing Engineer, Nuclear Reactor Engineer","Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
45-4011.00,"Forest Ranger, Forestry Support Specialist, Tree Farmer, Tree Planter","Under supervision, perform manual labor necessary to develop, maintain, or protect areas such as forests, forested areas, woodlands, wetlands, and rangelands through such activities as raising and transporting seedlings; combating insects, pests, and diseases harmful to plant life; and building structures to control water, erosion, and leaching of soil. Includes forester aides, seedling pullers, tree planters, and gatherers of nontimber forestry products such as pine straw."
49-9044.00,"Maintenance Millwright, Millwright, Millwright Foreman, Millwright Instructor","Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings."
21-1014.00,"Clinician, Counselor, Mental Health Specialist, Mental Health Therapist","Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging."
45-2093.00,"Cowboy, Herdsman, Livestock Handler, Ranch Hand","Attend to live farm, ranch, open range or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, rabbits, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, milking, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas. Includes workers who shear wool from sheep and collect eggs in hatcheries."
51-3092.00,"Batching Operator, Blender, Mixer, Mixer Operator",Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.
49-9097.00,"Signal Inspector, Signal Maintainer, Signalman, Train Control Electronic Technician","Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system."
