2018_SOC_Code,2018_Census_Code
11-1011,0010
11-1021,0020
11-1031,0030
11-2011,0040
11-2021,0051
11-2022,0052
11-2030,0060
11-3012,0101
11-3013,0102
11-3021,0110
11-3031,0120
11-3111,0135
11-3121,0136
11-3131,0137
11-3051,0140
11-3061,0150
11-3071,0160
11-9013,0205
11-9021,0220
11-9030,0230
11-9041,0300
11-9051,0310
11-9171,0325
11-9070,0335
11-9081,0340
11-9111,0350
11-9121,0360
11-9131,0400
11-9141,0410
11-9151,0420
11-9161,0425
11-9179,0426
11-9199,0440
13-1011,0500
13-1021,0510
13-1022,0520
13-1023,0530
13-1030,0540
13-1041,0565
13-1051,0600
13-1070,0630
13-1141,0640
13-1151,0650
13-1081,0700
13-1082,0705
13-1111,0710
13-1121,0725
13-1131,0726
13-1161,0735
13-1199,0750
13-2011,0800
13-2020,0810
13-2031,0820
13-2041,0830
13-2051,0845
13-2052,0850
13-2053,0860
13-2061,0900
13-2070,0910
13-2081,0930
13-2082,0940
15-1221,1005
15-1211,1006
15-1212,1007
15-1251,1010
15-1252,1021
15-1253,1022
15-1254,1031
15-1255,1032
15-1230,1050
15-1244,1105
15-1241,1106
15-1299,1108
15-2011,1200
15-2021,1210
15-2031,1220
15-2041,1230
17-1011,1305
17-1012,1306
17-1020,1310
17-2011,1320
17-2021,1330
17-2031,1340
17-2041,1350
17-2051,1360
17-2061,1400
17-2070,1410
17-2081,1420
17-2110,1430
17-2121,1440
17-2131,1450
17-2141,1460
17-2151,1500
17-2161,1510
17-2171,1520
17-2199,1530
17-3011,1541
17-3023,1551
17-3031,1560
19-1010,1600
19-1020,1610
19-1030,1640
19-1040,1650
19-1099,1660
19-2010,1700
19-2021,1710
19-2030,1720
19-2041,1745
19-2099,1760
19-3011,1800
19-3022,1815
19-3033,1821
19-3034,1822
19-3041,1830
19-3051,1840
19-3090,1860
19-4010,1900
19-4021,1910
19-4031,1920
19-4040,1935
19-4051,1940
19-4061,1950
19-5010,1980
21-1011,2001
21-1012,2002
21-1013,2003
21-1014,2004
21-1015,2005
21-1019,2006
21-1021,2011
21-1022,2012
21-1023,2013
21-1029,2014
21-1092,2015
21-1093,2016
21-2011,2040
21-2021,2050
21-2099,2060
23-1011,2100
23-1012,2105
23-1020,2110
23-2011,2145
23-2093,2170
23-2099,2180
25-1000,2205
25-2010,2300
25-2020,2310
25-2030,2320
25-2050,2330
25-3041,2350
25-4010,2400
25-4022,2435
25-4031,2440
25-9040,2545
27-1010,2600
27-1021,2631
27-1022,2632
27-1023,2633
27-1024,2634
27-1025,2635
27-1026,2636
27-2011,2700
27-2012,2710
27-2021,2721
27-2022,2722
27-2023,2723
27-2030,2740
27-2041,2751
27-2042,2752
27-2091,2755
27-2099,2770
27-3011,2805
27-3023,2810
27-3031,2825
27-3041,2830
27-3042,2840
27-3043,2850
27-3091,2861
27-3092,2862
27-3099,2865
27-4010,2905
27-4021,2910
27-4030,2920
27-4099,2970
29-1011,3000
29-1020,3010
29-1031,3030
29-1041,3040
29-1051,3050
29-1214,3065
29-1224,3070
29-1240,3100
29-1071,3110
29-1081,3120
29-1181,3140
29-1122,3150
29-1123,3160
29-1124,3200
29-1125,3210
29-1126,3220
29-1127,3230
29-1128,3235
29-1129,3245
29-1131,3250
29-1141,3255
29-1151,3256
29-1161,3257
29-1171,3258
29-1291,3261
29-1299,3270
29-2010,3300
29-1292,3310
29-2031,3321
29-2032,3322
29-2034,3323
29-2035,3324
29-2042,3401
29-2043,3402
29-2052,3421
29-2053,3422
29-2055,3423
29-2056,3424
29-2061,3500
29-2072,3515
29-2081,3520
29-2090,3545
29-9000,3550
31-1121,3601
31-1122,3602
31-1131,3603
31-2010,3610
31-2020,3620
31-9011,3630
31-9091,3640
31-9092,3645
31-9094,3646
31-9095,3647
31-9096,3648
31-9097,3649
33-1011,3700
33-1012,3710
33-1021,3720
33-1091,3725
33-1099,3735
