state_fips,occ2018,nativity_flag,emp_status,population
1,0010,0,EMPLOYED,12725.7505
1,0020,0,EMPLOYED,15532.6377
1,0051,0,EMPLOYED,11067.2288
1,0051,0,UNEMPLOYED,2634.9173
1,0052,0,EMPLOYED,6966.563
1,0060,0,EMPLOYED,2111.5729
1,0102,0,EMPLOYED,1735.6365
1,0110,0,EMPLOYED,5149.133400000001
1,0120,0,EMPLOYED,20415.8163
1,0136,0,EMPLOYED,3844.3078
1,0140,0,EMPLOYED,10851.6266
1,0140,1,EMPLOYED,2784.8279
1,0150,0,EMPLOYED,4337.4551
1,0160,0,EMPLOYED,5558.4681
1,0220,0,EMPLOYED,29407.647
1,0230,0,EMPLOYED,2648.5607
1,0310,0,EMPLOYED,15900.5633
1,0310,1,EMPLOYED,3156.7036
1,0350,0,EMPLOYED,11331.314199999999
1,0440,0,EMPLOYED,85215.8339
1,0440,1,EMPLOYED,12190.0955
1,0520,0,EMPLOYED,5461.5239
1,0530,0,EMPLOYED,9864.055199999999
1,0540,0,EMPLOYED,14545.971099999999
1,0565,0,EMPLOYED,4821.6888
1,0600,0,EMPLOYED,7274.8012
1,0630,0,EMPLOYED,22058.3177
1,0640,0,EMPLOYED,2163.9848
1,0650,0,EMPLOYED,4417.9432
1,0650,1,EMPLOYED,3292.1443
1,0700,0,EMPLOYED,2745.8619
1,0705,0,EMPLOYED,8175.6504
1,0710,0,EMPLOYED,6308.3670999999995
1,0750,0,EMPLOYED,8202.0367
1,0800,0,EMPLOYED,18972.16
1,0820,0,EMPLOYED,2886.0181
1,0830,0,EMPLOYED,3222.9719
1,0850,0,EMPLOYED,20808.7467
1,0860,0,EMPLOYED,5263.9027
1,0910,0,EMPLOYED,7179.055899999999
1,1006,0,EMPLOYED,12632.9765
1,1007,0,EMPLOYED,4370.8545
1,1010,0,EMPLOYED,13985.622299999999
1,1021,0,EMPLOYED,10344.4174
1,1021,1,UNEMPLOYED,2501.5016
1,1050,0,EMPLOYED,29928.7805
1,1050,0,UNEMPLOYED,2777.232
1,1050,1,EMPLOYED,3103.3742
1,1065,0,EMPLOYED,2754.0458
1,1105,0,EMPLOYED,4283.5545999999995
1,1106,0,EMPLOYED,2583.7069
1,1108,0,EMPLOYED,13991.0602
1,1108,1,EMPLOYED,2377.7582
1,1240,0,EMPLOYED,3815.1083
1,1240,1,EMPLOYED,3170.5348
1,1305,0,EMPLOYED,2329.6807
1,1340,0,EMPLOYED,4930.1025
1,1360,0,EMPLOYED,2522.413
1,1400,0,EMPLOYED,2390.8846
1,1410,0,EMPLOYED,17274.2379
1,1430,0,EMPLOYED,8465.1212
1,1440,0,EMPLOYED,2185.8343
1,1460,0,EMPLOYED,5480.8696
1,1530,0,EMPLOYED,5534.9929
1,1541,0,UNEMPLOYED,3314.5657
1,1545,0,EMPLOYED,2745.8619
1,1555,0,EMPLOYED,2514.4948
1,1650,0,EMPLOYED,3641.746
1,1700,0,EMPLOYED,2856.6132
1,1745,0,EMPLOYED,4624.8428
1,1825,0,EMPLOYED,2686.8974
1,1935,0,EMPLOYED,2703.7305
1,1970,0,EMPLOYED,1840.7704
1,2002,0,EMPLOYED,6005.5109
1,2003,0,EMPLOYED,3224.8975
1,2004,0,EMPLOYED,3050.4821
1,2006,0,EMPLOYED,7445.727
1,2016,0,EMPLOYED,2245.864
1,2040,0,EMPLOYED,7769.2418
1,2050,0,EMPLOYED,1968.6179
1,2060,0,EMPLOYED,2529.5507
1,2100,0,EMPLOYED,15017.5474
1,2145,0,EMPLOYED,3503.8698
1,2180,0,EMPLOYED,2638.6451
1,2205,0,EMPLOYED,4848.6805
1,2300,0,EMPLOYED,11585.4604
1,2300,0,UNEMPLOYED,3216.2517
1,2310,0,EMPLOYED,64630.2836
1,2320,0,EMPLOYED,15213.3075
1,2330,0,EMPLOYED,4614.4917000000005
1,2360,0,EMPLOYED,21801.1174
1,2360,0,UNEMPLOYED,7109.5897
1,2360,1,EMPLOYED,2369.6352
1,2545,0,EMPLOYED,2872.2666
1,2632,0,EMPLOYED,3059.2415
1,2633,0,EMPLOYED,2389.9699
1,2635,0,EMPLOYED,2207.2828
1,2640,0,EMPLOYED,9493.6064
1,2722,0,EMPLOYED,1771.9058
1,2752,0,EMPLOYED,7636.7473
1,2830,0,EMPLOYED,2686.8974
1,2905,0,EMPLOYED,2667.4966
1,3050,0,EMPLOYED,1945.2794
1,3090,0,EMPLOYED,4293.9609
1,3090,1,EMPLOYED,2433.8736
1,3160,0,EMPLOYED,9983.3623
1,3160,1,EMPLOYED,4255.8734
1,3230,0,EMPLOYED,7533.2613
1,3255,0,EMPLOYED,53927.2989
1,3258,0,EMPLOYED,8168.7035
1,3300,0,EMPLOYED,13330.7659
1,3310,0,EMPLOYED,3316.3467
1,3323,0,EMPLOYED,2929.5647
1,3401,0,EMPLOYED,2237.3384
