state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
1,2.0,40.0,19804912.0,78518753.0,5400,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,17.0,25473006.0,93500884.0,4720,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,35.0,27275059.0,108525659.0,5840,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,33.0,27754780.0,116541824.0,4920,3.0,110.0,12.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,52.0,23308029.0,92507749.0,3870,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,52.0,33270668.0,0.0,5160,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,53.0,39185761.0,0.0,0440,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,66.0,28238611.0,0.0,9620,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,32.0,25650544.0,0.0,6260,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,53.0,18212950.0,0.0,5120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,57.0,27710554.0,0.0,1430,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,52.0,34633158.0,0.0,4700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,52.0,22624950.0,0.0,5240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,30.0,20621292.0,85903127.0,5000,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,31.0,26141066.0,104521418.0,4710,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,67.0,25302007.0,0.0,0010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,70.0,18222534.0,0.0,6260,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,69.0,20872847.0,0.0,9130,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,54.0,28148755.0,0.0,8225,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,53.0,23899699.0,0.0,2633,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,40.0,27945115.0,111191767.0,5410,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,68.0,20165775.0,0.0,0010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,57.0,20481707.0,0.0,4840,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,58.0,23445578.0,0.0,1006,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,28.0,29371729.0,0.0,4720,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,49.0,21575549.0,0.0,4700,4.0,303.0,28.0,1.0,1.0,1.0,1,0,1,EMPLOYED
1,2.0,48.0,34417803.0,0.0,4700,4.0,303.0,28.0,1.0,1.0,1.0,1,0,1,EMPLOYED
1,2.0,25.0,28490209.0,0.0,9645,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,70.0,19210122.0,0.0,1010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,63.0,19606233.0,0.0,0800,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,28.0,31207415.0,0.0,4040,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,29.0,30504821.0,0.0,8140,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,27.0,31207415.0,0.0,4000,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,35.0,31157339.0,0.0,9130,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,43.0,22521147.0,0.0,7750,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,36.0,25729408.0,0.0,1108,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
