2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
29-1125,Recreational therapists,0.0028,15060,0.011010975734763288
49-1011,"First-line supervisors of mechanics, installers, and repairers",0.003,600680,0.4501924434875928
11-9161,Emergency management directors,0.003,12570,0.4593828794096362
21-1023,Mental health and substance abuse social workers,0.0031,125910,0.5514407781323484
29-1181,Audiologists,0.0033,14730,0.5622104775063897
29-1122,Occupational therapists,0.0035,152280,0.6735485508722433
29-2091,Orthotists and prosthetists,0.0035,9930,0.6808087759085115
21-1022,Healthcare social workers,0.0035,185940,0.8167570380679994
29-1022,Oral and maxillofacial surgeons,0.0036,5330,0.8206540168639016
33-1021,First-line supervisors of fire fighting and prevention workers,0.0036,93680,0.889147257689441
29-1031,Dietitians and nutritionists,0.0039,76570,0.9451306847817933
11-9081,Lodging managers,0.0039,41350,0.9753633439207351
27-2032,Choreographers,0.004,3430,0.9778711557912687
41-9031,Sales engineers,0.0041,56690,1.019319510001344
,Physicians and surgeons,0.0042,0,1.019319510001344
25-9031,Instructional coordinators,0.0042,210850,1.1734804816929
19-3039,"Psychologists, all other",0.0043,17790,1.186487470957272
33-1012,First-line supervisors of police and detectives,0.0044,153130,1.2984470137371062
29-1021,"Dentists, general",0.0044,113490,1.3814241476108304
25-2021,"Elementary school teachers, except special education",0.0044,1393310,2.400129499603064
19-1042,"Medical scientists, except epidemiologists",0.0045,156300,2.5144067577268023
11-9032,"Education administrators, elementary and secondary school",0.0046,319630,2.748101191598143
29-1081,Podiatrists,0.0046,9520,2.7550616490347264
19-3033,"Clinical, counseling, and school psychologists",0.0047,72190,2.8078426807938603
19-3034,"Clinical, counseling, and school psychologists",0.0047,63830,2.8545113780813733
21-1014,Mental health counselors,0.0048,0,2.8545113780813733
51-6092,Fabric and apparel patternmakers,0.0049,2860,2.8566024398742966
27-1027,Set and exhibit designers,0.0055,10850,2.864535314158638
11-3121,Human resources managers,0.0055,215520,3.0221107119246526
39-9032,Recreation workers,0.0061,309640,3.248501052330503
11-3131,Training and development managers,0.0063,44960,3.2813731286276444
29-1127,Speech-language pathologists,0.0064,178790,3.4120937363048247
15-1211,Computer systems analysts,0.0065,497800,3.7760554707513827
11-9151,Social and community service managers,0.0067,195490,3.918986124562065
25-4012,Curators,0.0068,12280,3.927964529742868
29-9091,Athletic trainers,0.0071,28950,3.9491310468425627
11-9111,Medical and health services managers,0.0073,565840,4.362839580027055
25-2011,"Preschool reachers, except special education",0.0074,445080,4.688255587997071
25-9021,Farm and home management advisors,0.0075,10260,4.6957570893940614
19-3091,Anthropologists and archeologists,0.0077,8070,4.701657393124443
25-2058,"Special education teachers, secondary school",0.0077,162780,4.820672441604175
25-2031,"Secondary school teachers, except special and career/technical education",0.0078,1072540,5.604849859569846
21-2011,Clergy,0.0081,58080,5.647314499056902
19-1032,Foresters,0.0081,9650,5.6543700047568
21-1012,"Educational, guidance, school, and vocational counselors",0.0085,342350,5.9046759504936
25-2032,"Career/technical education teachers, secondary school",0.0088,104450,5.981043574364518
,Registered nurses,0.009,0,5.981043574364518
21-1015,Rehabilitation counselors,0.0094,88930,6.046063897876636
,"Teachers and Instructors, all other",0.0095,0,6.046063897876636
19-4092,Forensic science technicians,0.0095,19450,6.060284580349489
39-5091,"Makeup artists, theatrical and performance",0.01,3320,6.0627119667664475
17-2121,Marine engineers and naval architects,0.01,8440,6.068882792477033
11-9033,"Education administrators, postsecondary",0.01,176420,6.197870597199937
17-2141,Mechanical engineers,0.011,286760,6.407532443262401
29-1051,Pharmacists,0.012,328870,6.647982615233955
