Rank,Probability,Label,SOC code,Occupation,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
1,0.0028,,29-1125,Recreational therapists,29-1125,Recreational Therapists,29-1125,Recreational Therapists
2,0.003,,49-1011,"First-line supervisors of mechanics, installers, and repairers",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
3,0.003,,11-9161,Emergency management directors,11-9161,Emergency Management Directors,11-9161,Emergency Management Directors
4,0.0031,,21-1023,Mental health and substance abuse social workers,21-1023,Mental Health and Substance Abuse Social Workers,21-1023,Mental Health and Substance Abuse Social Workers
5,0.0033,,29-1181,Audiologists,29-1181,Audiologists,29-1181,Audiologists
6,0.0035,,29-1122,Occupational therapists,29-1122,Occupational Therapists,29-1122,Occupational Therapists
7,0.0035,,29-2091,Orthotists and prosthetists,29-2091,Orthotists and Prosthetists,29-2091,Orthotists and Prosthetists
8,0.0035,,21-1022,Healthcare social workers,21-1022,Healthcare Social Workers,21-1022,Healthcare Social Workers
9,0.0036,,29-1022,Oral and maxillofacial surgeons,29-1022,Oral and Maxillofacial Surgeons,29-1022,Oral and Maxillofacial Surgeons
10,0.0036,,33-1021,First-line supervisors of fire fighting and prevention workers,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
11,0.0039,,29-1031,Dietitians and nutritionists,29-1031,Dietitians and Nutritionists,29-1031,Dietitians and Nutritionists
12,0.0039,,11-9081,Lodging managers,11-9081,Lodging Managers,11-9081,Lodging Managers
13,0.004,,27-2032,Choreographers,27-2032,Choreographers,27-2032,Choreographers
14,0.0041,,41-9031,Sales engineers,41-9031,Sales Engineers,41-9031,Sales Engineers
15,0.0042,0.0,29-1060,Physicians and surgeons,,,,
16,0.0042,,25-9031,Instructional coordinators,25-9031,Instructional Coordinators,25-9031,Instructional Coordinators
17,0.0043,,19-3039,"Psychologists, all other",19-3039,"Psychologists, All Other",19-3039,"Psychologists, All Other"
18,0.0044,,33-1012,First-line supervisors of police and detectives,33-1012,First-Line Supervisors of Police and Detectives,33-1012,First-Line Supervisors of Police and Detectives
19,0.0044,0.0,29-1021,"Dentists, general",29-1021,"Dentists, General",29-1021,"Dentists, General"
