occ2018,total_lf,native,foreign
0440,5801135.97,4808726.5324,992409.4376000001
3255,3720583.5537,3003812.1087,716771.445
2310,3690831.7715,3391622.8454,299208.9261
9130,3595899.7557,2782861.2118,813038.5438999999
4700,3155296.8926,2667537.0836,487759.809
5240,2864955.3984999997,2483342.2345,381613.164
4720,2837675.0272,2439068.946,398606.0812
4760,2779446.5804000003,2443838.674,335607.9064
6260,2582631.3793,1355038.3129,1227593.0664000001
4220,2362100.5272,1552729.0584,809371.4688
9620,2320535.0947000002,1867525.8192,453009.2755
4020,2273352.3985,1574545.3744,698807.0241
1021,2272858.8241,1365836.9579,907021.8662
3602,1985571.1971,1539123.9996,446447.1975
9645,1841544.7406,1500186.5872,341358.1534
0800,1821506.6398,1485049.1454,336457.4944
4110,1801248.4273,1428385.1401,372863.2872
0010,1661377.0483,1413646.2555,247730.79280000002
4230,1555034.5113,643776.9215,911257.5898
2545,1530505.6398999998,1277679.4633,252826.1766
5740,1512076.0025999998,1396722.1713999999,115353.8312
3603,1500620.2243,1183883.9579999999,316736.2663
0120,1446354.456,1219555.5672,226798.88880000002
0020,1421939.1146999998,1278832.2486999999,143106.866
5000,1391855.5754,1249640.8784999999,142214.6969
5860,1368449.0508,1214829.7378,153619.313
4251,1313507.3786,805733.2088,507774.16980000003
5400,1312472.5186,1149901.6553,162570.8633
0310,1294423.9845,985211.0706,309212.9139
0220,1264855.8525999999,1059255.7125,205600.1401
8990,1254470.7532,921234.3803,333236.3729
5120,1223282.2234999998,1043397.8907999999,179884.3327
6230,1206902.7152,768451.0455,438451.6697
1108,1194025.4192,948408.759,245616.6602
2100,1173167.8333,1067444.1387,105723.6946
0230,1151989.4803,1012230.9013,139758.579
0705,1144521.1844,974331.5157,170189.6687
4920,1128809.2298,921653.6028,207155.627
4600,1121113.0559999999,753782.6904,367330.3656
4850,1103120.3050000002,964531.5306,138588.7744
2360,1102001.301,927821.2495,174180.0515
4055,1091949.636,981647.5467000001,110302.08929999999
6355,1088687.4471,913704.3862,174983.0609
2205,1076538.4298999999,776626.6873,299911.7426
4030,1071744.3728,759425.2284,312319.1444
3930,1070393.9453,940189.1708000001,130204.7745
0710,1063557.726,903597.2013,159960.5247
4710,1059764.5639,862050.5447,197714.0192
7750,1028649.2551,836562.8931,192086.362
0350,961240.3167,821776.4267,139463.89
5510,915729.6932999999,717150.2002,198579.4931
3090,885507.1714999999,683187.4157,202319.75579999998
6050,881377.3282999999,441286.01529999997,440091.31299999997
0630,858244.3167999999,761338.8239,96905.4929
5940,856955.307,753468.7864,103486.52059999999
0410,846995.1854,741027.6207,105967.56469999999
6200,845673.5107999999,661813.8474,183859.6634
8740,812641.4675,650207.909,162433.55849999998
2320,810671.4789,732193.9587,78477.5202
3601,763017.4849,404540.5238,358476.9611
4510,762993.3877999999,626526.933,136466.4548
7340,760239.2432,634866.5873,125372.6559
7200,754089.0788,625044.4305,129044.6483
2300,725682.0814,623098.5877,102583.49369999999
1530,723372.2317,506382.954,216989.2777
0205,722817.0606999999,709330.7775,13486.2832
-001,717270.0977,601566.3354,115703.7623
7700,713473.9792,585118.1521,128355.8271
0110,709911.9410999999,539689.8347,170222.1064
1050,702330.1878000001,584998.2946,117331.8932
6442,682556.9533,581905.6877,100651.2656
9600,680092.1545,493580.2131,186511.9414
3645,670646.3257,577092.6668,93553.6589
0051,664517.0776999999,577422.2782,87094.79950000001
4810,656318.8417,529518.2588,126800.58290000001
3870,646248.4909,626272.3864,19976.1045
5610,640262.8145,503344.5024,136918.3121
6410,626009.5275,291102.7657,334906.7618
9142,621983.0699,234653.7047,387329.3652
0750,610392.5995,534899.6794,75492.9201
7315,608473.4645,481969.43360000005,126504.0309
3500,597611.7101,509586.8581,88024.852
2014,596521.2911,529363.3265,67157.9646
4840,594692.8277,498335.0899,96357.7378
9640,578525.9301,352835.0375,225690.8926
0850,572272.2733,522290.599,49981.6743
8140,547187.1754000001,426108.2858,121078.8896
1006,547001.3836000001,436724.1119,110277.2717
4010,540023.158,490215.5211,49807.6369
1240,538892.047,420264.5212,118627.5258
0052,531757.6537,455671.2085,76086.4452
4000,530674.6475,310809.6191,219865.0284
0735,523808.6094,422069.6826,101738.9268
1360,487171.8902,386320.1168,100851.7734
0420,482998.05079999997,404611.3896,78386.6612
4040,474917.50210000004,424681.7199,50235.7822
4965,471676.0427,377351.1434,94324.8993
0910,457827.2858,424659.8432,33167.4426
6305,443375.53319999995,417232.4565,26143.0767
9610,440188.6884,298639.5503,141549.1381
2145,433590.3334,377606.1889,55984.1445
2040,431930.4209,397102.8462,34827.5747
5550,426293.4175,383940.0255,42353.392
4350,425459.6537,413145.038,12314.6157
1460,424590.68369999994,342352.47599999997,82238.2077
0160,399296.8175,303947.6664,95349.1511
1760,395889.0172,205896.4493,189992.5679
7330,395788.1396,323153.58640000003,72634.5532
1555,392255.1187,300589.0462,91666.0725
4150,387693.2967,341517.213,46176.0837
0540,377569.4816,345010.0335,32559.4481
2330,369033.3699,340040.7672,28992.6027
0845,368351.8711,295971.4234,72380.44769999999
5110,367209.8125,314254.3094,52955.5031
3740,365342.20310000004,365342.20310000004,0.0
7210,364548.6802,279172.4227,85376.25749999999
2722,363482.2496,347513.8075,15968.4421
1970,354201.58599999995,302902.4051,51299.1809
4200,354057.60219999996,238680.9479,115376.6543
3050,353213.14,290417.9852,62795.154800000004
2002,346186.9409,322348.2797,23838.6612
4210,339187.4278,245237.24,93950.1878
2640,337536.8888,288540.6682,48996.2206
3160,337416.3354,286208.9585,51207.3769
6515,335957.9901,159900.177,176057.8131
2634,335071.9502,295300.9952,39770.955
4120,333479.179,286997.1059,46482.073099999994
3421,333149.0984,291159.4439,41989.6545
2600,330383.0476,299502.5011,30880.5465
0140,328040.56889999995,281144.4137,46896.1552
0530,326752.536,287475.6127,39276.9233
1010,325617.77930000005,241655.08980000002,83962.68950000001
0565,323550.8774,270691.3959,52859.4815
0136,320956.2605,286556.608,34399.6525
5810,316672.6809,285096.4669,31576.214
8030,313449.9771,261059.1731,52390.804000000004
3802,312128.7025,288077.1702,24051.5323
9005,310908.1006,274390.6893,36517.4113
7800,309722.30189999996,218339.5048,91382.7971
3300,308980.1788,231616.9001,77363.2787
4130,306530.5545,197568.9721,108961.5824
9122,303666.3506,206609.52169999998,97056.82890000001
5840,296515.69470000005,284213.20290000003,12302.4918
1305,291341.7627,242984.8547,48356.908
1007,290781.6083,240122.068,50659.5403
2006,290741.6237,275864.5212,14877.102499999999
4621,289761.7427,251635.7063,38126.0364
8800,287068.1588,130658.492,156409.6668
3258,286776.94680000003,263949.97010000004,22826.9767
7000,286065.0262,269255.112,16809.9142
4950,284512.7024,231297.2567,53215.4457
1410,280114.847,217309.3193,62805.5277
3655,278419.865,226889.7846,51530.0804
4521,278314.3806,82954.7399,195359.6407
2710,273063.11010000005,228604.18920000002,44458.9209
8225,270194.3316,205632.2157,64562.1159
7640,267133.1261,205536.9641,61596.162000000004
5710,259915.3075,253520.6803,6394.6272
9121,259903.8473,192240.5059,67663.3414
4435,258744.596,250333.7468,8410.8492
3960,258404.5645,258404.5645,0.0
3245,257229.3906,233651.9694,23577.4212
2004,249415.3106,222463.5197,26951.7909
2850,247845.3803,214001.7645,33843.6158
0650,245881.30359999998,237072.6064,8808.697199999999
3640,245769.5588,194399.355,51370.2038
1430,245370.0717,223938.0906,21431.9811
3310,237521.5778,211142.061,26379.5168
3323,237480.92570000002,208550.8164,28930.1093
2910,233732.4333,206675.3517,27057.0816
5600,233239.3306,205678.9345,27560.396099999998
4140,232470.418,163462.8935,69007.5245
3230,226519.7284,201936.9288,24582.7996
7220,222014.8156,191151.1261,30863.6895
0150,217737.78720000002,195662.6006,22075.1866
7810,216447.5161,153381.5025,63066.0136
3010,211905.5118,153603.8604,58301.6514
0520,210526.42070000002,190463.0584,20063.3623
5160,204785.8687,188340.2033,16445.665399999998
