occ2018,total_lf,native,foreign,2018 Census Title ,2018 Census Code,2018 SOC Code,2018 SOC Title,2018 Census Title
0440,5801135.97,4808726.5324,992409.4376,"Managers, all other",0440,11-9199,,
3255,3720583.5537,3003812.1087,716771.445,Registered nurses,3255,29-1141,,
2310,3690831.7715,3391622.8454,299208.9261,Elementary and middle school teachers,2310,25-2020,,
9130,3595899.7557,2782861.2118,813038.5438999999,Driver/sales workers and truck drivers,9130,53-3030,,
4700,3155296.8926,2667537.0836,487759.809,First-Line supervisors of retail sales workers,4700,41-1011,,
5240,2864955.3985,2483342.2345,381613.164,Customer service representatives,5240,43-4051,,
4720,2837675.0272,2439068.946,398606.0812,Cashiers,4720,41-2010,,
4760,2779446.5804000003,2443838.674,335607.9064,Retail salespersons,4760,41-2031,,
6260,2582631.3793,1355038.3129,1227593.0664,Construction laborers,6260,47-2061,,
4220,2362100.5272,1552729.0584,809371.4688,Janitors and building cleaners,4220,37-201X,,
9620,2320535.0947,1867525.8192,453009.2755,"Laborers and freight, stock, and material movers, hand",9620,53-7062,,
4020,2273352.3985,1574545.3744,698807.0241,Cooks,4020,35-2010,,
1021,2272858.8241,1365836.9579,907021.8662,Software developers,1021,15-1252,,
3602,1985571.1971,1539123.9996,446447.1975,Personal care aides,3602,31-1122,,
9645,1841544.7406,1500186.5872,341358.1534,Stockers and order fillers,9645,53-7065,,
0800,1821506.6398,1485049.1454,336457.4944,Accountants and auditors,0800,13-2011,,
4110,1801248.4273,1428385.1401,372863.2872,Waiters and waitresses,4110,35-3031,,
0010,1661377.0483,1413646.2555,247730.7928,Chief executives,0010,11-1011,,
4230,1555034.5113,643776.9215,911257.5898,Maids and housekeeping cleaners,4230,37-2012,,
2545,1530505.6398999998,1277679.4633,252826.1766,Teaching assistants,2545,25-9040,,
5740,1512076.0025999998,1396722.1714,115353.8312,"Secretaries and administrative assistants, except legal, medical, and executive",5740,43-6014,,
3603,1500620.2243,1183883.958,316736.2663,Nursing assistants,3603,31-1131,,
0120,1446354.456,1219555.5672,226798.8888,Financial managers,0120,11-3031,,
0020,1421939.1146999998,1278832.2487,143106.866,General and operations managers,0020,11-1021,,
5000,1391855.5754,1249640.8785,142214.6969,First-Line supervisors of office and administrative support workers,5000,43-1011,,
5860,1368449.0508,1214829.7378,153619.313,"Office clerks, general",5860,43-9061,,
4251,1313507.3786,805733.2088,507774.1698,Landscaping and groundskeeping workers,4251,37-3011,,
5400,1312472.5186,1149901.6553,162570.8633,Receptionists and information clerks,5400,43-4171,,
0310,1294423.9845,985211.0706,309212.9139,Food service managers,0310,11-9051,,
0220,1264855.8526,1059255.7125,205600.1401,Construction managers,0220,11-9021,,
8990,1254470.7532,921234.3803,333236.3729,Other production workers,8990,51-91XX,,
5120,1223282.2234999998,1043397.8908,179884.3327,"Bookkeeping, accounting, and auditing clerks",5120,43-3031,,
6230,1206902.7152,768451.0455,438451.6697,Carpenters,6230,47-2031,,
1108,1194025.4192,948408.759,245616.6602,"Computer occupations, all other",1108,15-1299,,
2100,1173167.8333,1067444.1387,105723.6946,Lawyers,2100,23-1011,,
0230,1151989.4803,1012230.9013,139758.579,Education and childcare administrators ,0230,11-9030,,
0705,1144521.1844,974331.5157,170189.6687,Project management specialists,0705,13-1082,,
4920,1128809.2298,921653.6028,207155.627,Real estate brokers and sales agents,4920,41-9020,,
4600,1121113.056,753782.6904,367330.3656,Childcare workers,4600,39-9011,,
4850,1103120.3050000002,964531.5306,138588.7744,"Sales representatives, wholesale and manufacturing",4850,41-4010,,
2360,1102001.301,927821.2495,174180.0515,Other teachers and instructors,2360,25-30XX,,
4055,1091949.636,981647.5467,110302.0893,Fast food and counter workers,4055,35-3023,,
6355,1088687.4471,913704.3862,174983.0609,Electricians,6355,47-2111,,
2205,1076538.4299,776626.6873,299911.7426,Postsecondary teachers,2205,25-1000,,
4030,1071744.3728,759425.2284,312319.1444,Food preparation workers,4030,35-2021,,
3930,1070393.9453,940189.1708,130204.7745,Security guards and gambling surveillance officers,3930,33-9030,,
0710,1063557.726,903597.2013,159960.5247,Management analysts,0710,13-1111,,
4710,1059764.5639,862050.5447,197714.0192,First-Line supervisors of non-retail sales workers,4710,41-1012,,
7750,1028649.2551,836562.8931,192086.362,Other assemblers and fabricators,7750,51-20XX,,
0350,961240.3167,821776.4267,139463.89,Medical and health services managers,0350,11-9111,,
5510,915729.6933,717150.2002,198579.4931,Couriers and messengers,5510,43-5021,,
3090,885507.1714999999,683187.4157,202319.7558,Other physicians,3090,29-12XX,,
6050,881377.3282999999,441286.0153,440091.313,Miscellaneous agricultural workers,6050,45-2090,,
0630,858244.3167999999,761338.8239,96905.4929,Human resources workers,0630,13-1070,,
5940,856955.307,753468.7864,103486.5206,"Office and administrative support workers, all other",5940,43-9199,,
0410,846995.1854,741027.6207,105967.5647,"Property, real estate, and community association managers",0410,11-9141,,
6200,845673.5107999999,661813.8474,183859.6634,First-line supervisors of construction trades and extraction workers,6200,47-1011,,
8740,812641.4675,650207.909,162433.55849999998,"Inspectors, testers, sorters, samplers, and weighers",8740,51-9061,,
2320,810671.4789,732193.9587,78477.5202,Secondary school teachers,2320,25-2030,,
3601,763017.4849,404540.5238,358476.9611,Home health aides,3601,31-1121,,
4510,762993.3877999999,626526.933,136466.4548,"Hairdressers, hairstylists, and cosmetologists",4510,39-5012,,
7340,760239.2432,634866.5873,125372.6559,"Maintenance and repair workers, general",7340,49-9071,,
7200,754089.0788,625044.4305,129044.6483,Automotive service technicians and mechanics,7200,49-3023,,
2300,725682.0814,623098.5877,102583.4937,Preschool and kindergarten teachers,2300,25-2010,,
1530,723372.2317,506382.954,216989.2777,"Engineers, all other",1530,17-2199,,
0205,722817.0606999999,709330.7775,13486.2832,"Farmers, ranchers, and other agricultural managers",0205,11-9013,,
-001,717270.0977,601566.3354,115703.7623,,,,,Occupation not reported
7700,713473.9792,585118.1521,128355.8271,First-line supervisors of production and operating workers,7700,51-1011,,
0110,709911.9410999999,539689.8347,170222.1064,Computer and information systems managers,0110,11-3021,,
1050,702330.1878000001,584998.2946,117331.8932,Computer support specialists,1050,15-1230,,
6442,682556.9533,581905.6877,100651.2656,"Plumbers, pipefitters, and steamfitters",6442,47-2152,,
9600,680092.1545,493580.2131,186511.9414,Industrial truck and tractor operators,9600,53-7051,,
3645,670646.3257,577092.6668,93553.6589,Medical assistants,3645,31-9092,,
0051,664517.0776999999,577422.2782,87094.79950000001,Marketing managers,0051,11-2021,,
4810,656318.8417,529518.2588,126800.5829,Insurance sales agents,4810,41-3021,,
3870,646248.4909,626272.3864,19976.1045,Police officers,3870,33-3050,,
5610,640262.8145,503344.5024,136918.3121,"Shipping, receiving, and inventory clerks",5610,43-5071,,
6410,626009.5275,291102.7657,334906.7618,Painters and paperhangers,6410,47-2140,,
9142,621983.0699,234653.7047,387329.3652,Taxi drivers,9142,53-3054,,
0750,610392.5995,534899.6794,75492.9201,"Business operations specialists, all other",0750,13-1199,,
7315,608473.4645,481969.4336000001,126504.0309,"Heating, air conditioning, and refrigeration mechanics and installers",7315,49-9021,,
3500,597611.7101,509586.8581,88024.852,Licensed practical and licensed vocational nurses,3500,29-2061,,
2014,596521.2911,529363.3265,67157.9646,"Social workers, all other",2014,21-1029,,
4840,594692.8277,498335.0899,96357.7378,"Sales representatives of services, except advertising, insurance, financial services, and travel",4840,41-3091,,
9640,578525.9301,352835.0375,225690.8926,"Packers and packagers, hand",9640,53-7064,,
0850,572272.2733,522290.599,49981.6743,Personal financial advisors,0850,13-2052,,
8140,547187.1754000001,426108.2858,121078.8896,"Welding, soldering, and brazing workers",8140,51-4120,,
1006,547001.3836000001,436724.1119,110277.2717,Computer systems analysts,1006,15-1211,,
4010,540023.158,490215.5211,49807.6369,First-line supervisors of food preparation and serving workers,4010,35-1012,,
1240,538892.047,420264.5212,118627.5258,Other mathematical science occupations,1240,15-20XX,,
0052,531757.6537,455671.2085,76086.4452,Sales managers,0052,11-2022,,
4000,530674.6475,310809.6191,219865.0284,Chefs and head cooks,4000,35-1011,,
0735,523808.6094,422069.6826,101738.9268,Market research analysts and marketing specialists,0735,13-1161,,
1360,487171.8902,386320.1168,100851.7734,Civil engineers,1360,17-2051,,
0420,482998.0508,404611.3896,78386.6612,Social and community service managers,0420,11-9151,,
4040,474917.5021,424681.7199,50235.7822,Bartenders,4040,35-3011,,
4965,471676.0427,377351.1434,94324.8993,"Sales and related workers, all other",4965,41-9099,,
0910,457827.2858,424659.8432,33167.4426,Credit counselors and loan officers,0910,13-2070,,
6305,443375.5332,417232.4565,26143.0767,Construction equipment operators,6305,47-2070,,
9610,440188.6884,298639.5503,141549.1381,Cleaners of vehicles and equipment,9610,53-7061,,
2145,433590.3334,377606.1889,55984.1445,Paralegals and legal assistants,2145,23-2011,,
2040,431930.4209,397102.8462,34827.5747,Clergy,2040,21-2011,,
5550,426293.4175,383940.0255,42353.392,Postal service mail carriers,5550,43-5052,,
4350,425459.6537,413145.038,12314.6157,Animal caretakers,4350,39-2021,,
1460,424590.6837,342352.476,82238.2077,Mechanical engineers,1460,17-2141,,
0160,399296.8175,303947.6664,95349.1511,"Transportation, storage, and distribution managers",0160,11-3071,,
1760,395889.0172,205896.4493,189992.5679,"Physical scientists, all other",1760,19-2099,,
7330,395788.1396,323153.58640000003,72634.5532,Industrial and refractory machinery mechanics,7330,49-904X,,
1555,392255.1187,300589.0462,91666.0725,"Other engineering technologists and technicians, except drafters",1555,17-302X,,
4150,387693.2967,341517.213,46176.0837,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,35-9031,,
0540,377569.4816,345010.0335,32559.4481,"Claims adjusters, appraisers, examiners, and investigators",0540,13-1030,,
2330,369033.3699,340040.7672,28992.6027,Special education teachers,2330,25-2050,,
0845,368351.8711,295971.4234,72380.44769999999,Financial and investment analysts,0845,13-2051,,
5110,367209.8125,314254.3094,52955.5031,Billing and posting clerks,5110,43-3021,,
3740,365342.2031,365342.2031,0.0,Firefighters,3740,33-2011,,
7210,364548.6802,279172.4227,85376.25749999999,Bus and truck mechanics and diesel engine specialists,7210,49-3031,,
2722,363482.2496,347513.8075,15968.4421,Coaches and scouts,2722,27-2022,,
1970,354201.58599999995,302902.4051,51299.1809,"Other life, physical, and social science technicians",1970,19-40XX,,
4200,354057.6022,238680.9479,115376.6543,First-line supervisors of housekeeping and janitorial workers,4200,37-1011,,
3050,353213.14,290417.9852,62795.1548,Pharmacists,3050,29-1051,,
2002,346186.9409,322348.2797,23838.6612,"Educational, guidance, and career counselors and advisors",2002,21-1012,,
4210,339187.4278,245237.24,93950.1878,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,37-1012,,
2640,337536.8888,288540.6682,48996.2206,Other designers,2640,27-102X,,
3160,337416.3354,286208.9585,51207.3769,Physical therapists,3160,29-1123,,
6515,335957.9901,159900.177,176057.8131,Roofers,6515,47-2181,,
2634,335071.9502,295300.9952,39770.955,Graphic designers,2634,27-1024,,
4120,333479.179,286997.1059,46482.0731,"Food servers, nonrestaurant",4120,35-3041,,
3421,333149.0984,291159.4439,41989.6545,Pharmacy technicians,3421,29-2052,,
2600,330383.0476,299502.5011,30880.5465,Artists and related workers,2600,27-1010,,
0140,328040.56889999995,281144.4137,46896.1552,Industrial production managers,0140,11-3051,,
0530,326752.536,287475.6127,39276.9233,"Purchasing agents, except wholesale, retail, and farm products",0530,13-1023,,
1010,325617.77930000005,241655.0898,83962.68950000001,Computer programmers,1010,15-1251,,
0565,323550.8774,270691.3959,52859.4815,Compliance officers,0565,13-1041,,
0136,320956.2605,286556.608,34399.6525,Human resources managers,0136,11-3121,,
5810,316672.6809,285096.4669,31576.214,Data entry keyers,5810,43-9021,,
8030,313449.9771,261059.1731,52390.804,Machinists,8030,51-4041,,
3802,312128.7025,288077.1702,24051.5323,Correctional officers and jailers,3802,33-3012,,
9005,310908.1006,274390.6893,36517.4113,Supervisors of transportation and material moving workers,9005,53-1000,,
7800,309722.3019,218339.5048,91382.7971,Bakers,7800,51-3011,,
3300,308980.1788,231616.9001,77363.2787,Clinical laboratory technologists and technicians,3300,29-2010,,
4130,306530.5545,197568.9721,108961.5824,Dining room and cafeteria attendants and bartender helpers,4130,35-9011,,
9122,303666.3506,206609.5217,97056.8289,"Bus drivers, transit and intercity",9122,53-3052,,
5840,296515.69470000005,284213.20290000003,12302.4918,Insurance claims and policy processing clerks,5840,43-9041,,
1305,291341.7627,242984.8547,48356.908,"Architects, except landscape and naval",1305,17-1011,,
1007,290781.6083,240122.068,50659.5403,Information security analysts,1007,15-1212,,
2006,290741.6237,275864.5212,14877.1025,"Counselors, all other",2006,21-1019,,
4621,289761.7427,251635.7063,38126.0364,Exercise trainers and group fitness instructors,4621,39-9031,,
8800,287068.1588,130658.492,156409.6668,Packaging and filling machine operators and tenders,8800,51-9111,,
3258,286776.94680000003,263949.97010000004,22826.9767,Nurse practitioners,3258,29-1171,,
7000,286065.0262,269255.112,16809.9142,"First-line supervisors of mechanics, installers, and repairers",7000,49-1011,,
4950,284512.7024,231297.2567,53215.4457,"Door-to-door sales workers, news and street vendors, and related workers",4950,41-9091,,
1410,280114.847,217309.3193,62805.5277,Electrical and electronics engineers,1410,17-2070,,
3655,278419.865,226889.7846,51530.0804,Other healthcare support workers,3655,31-909X,,
4521,278314.3806,82954.7399,195359.6407,Manicurists and pedicurists,4521,39-5092,,
2710,273063.11010000005,228604.1892,44458.9209,Producers and directors,2710,27-2012,,
8225,270194.3316,205632.2157,64562.1159,Other metal workers and plastic workers,8225,51-4XXX,,
7640,267133.1261,205536.9641,61596.162,"Other installation, maintenance, and repair workers",7640,49-909X,,
5710,259915.3075,253520.6803,6394.6272,Executive secretaries and executive administrative assistants,5710,43-6011,,
9121,259903.8473,192240.5059,67663.3414,"Bus drivers, school",9121,53-3051,,
4435,258744.596,250333.7468,8410.8492,Other entertainment attendants and related workers,4435,39-30XX,,
3960,258404.5645,258404.5645,0.0,Other protective service workers,3960,33-909X,,
3245,257229.3906,233651.9694,23577.4212,"Therapists, all other",3245,29-1129,,
2004,249415.3106,222463.5197,26951.7909,Mental health counselors,2004,21-1014,,
2850,247845.3803,214001.7645,33843.6158,Writers and authors,2850,27-3043,,
0650,245881.3036,237072.6064,8808.697199999999,Training and development specialists,0650,13-1151,,
3640,245769.5588,194399.355,51370.2038,Dental assistants,3640,31-9091,,
