occ2018,total_lf,native,foreign,2018 Census Title ,2018 Census Code,2018 SOC Code,2018 SOC Title,2018 Census Title,TOT_EMP
440,5801135.97,4808726.5324,992409.4376,"Managers, all other",440.0,11-9199,,,630980
3255,3720583.5537,3003812.1087,716771.445,Registered nurses,3255.0,29-1141,,,3282010
2310,3690831.7715,3391622.8454,299208.9261,Elementary and middle school teachers,2310.0,25-2020,,,2027880
9130,3595899.7557,2782861.2118,813038.5438999999,Driver/sales workers and truck drivers,9130.0,53-3030,,,3482310
4700,3155296.8926,2667537.0836,487759.809,First-Line supervisors of retail sales workers,4700.0,41-1011,,,1113160
5240,2864955.3985,2483342.2345,381613.164,Customer service representatives,5240.0,43-4051,,,2725930
4720,2837675.0272,2439068.946,398606.0812,Cashiers,4720.0,41-2010,,,3169960
4760,2779446.5804000003,2443838.674,335607.9064,Retail salespersons,4760.0,41-2031,,,3800250
6260,2582631.3793,1355038.3129,1227593.0664,Construction laborers,6260.0,47-2061,,,1057660
4220,2362100.5272,1552729.0584,809371.4688,Janitors and building cleaners,4220.0,37-201X,,,3071180
9620,2320535.0947,1867525.8192,453009.2755,"Laborers and freight, stock, and material movers, hand",9620.0,53-7062,,,2982530
4020,2273352.3985,1574545.3744,698807.0241,Cooks,4020.0,35-2010,,,2743530
1021,2272858.8241,1365836.9579,907021.8662,Software developers,1021.0,15-1252,,,1654440
3602,1985571.1971,1539123.9996,446447.1975,Personal care aides,3602.0,31-1122,,,
9645,1841544.7406,1500186.5872,341358.1534,Stockers and order fillers,9645.0,53-7065,,,2779530
800,1821506.6398,1485049.1454,336457.4944,Accountants and auditors,800.0,13-2011,,,1448290
4110,1801248.4273,1428385.1401,372863.2872,Waiters and waitresses,4110.0,35-3031,,,2302690
10,1661377.0483,1413646.2555,247730.7928,Chief executives,10.0,11-1011,,,211850
4230,1555034.5113,643776.9215,911257.5898,Maids and housekeeping cleaners,4230.0,37-2012,,,854910
2545,1530505.6398999998,1277679.4633,252826.1766,Teaching assistants,2545.0,25-9040,,,1530310
5740,1512076.0025999998,1396722.1714,115353.8312,"Secretaries and administrative assistants, except legal, medical, and executive",5740.0,43-6014,,,1737820
3603,1500620.2243,1183883.958,316736.2663,Nursing assistants,3603.0,31-1131,,,1388430
120,1446354.456,1219555.5672,226798.8888,Financial managers,120.0,11-3031,,,818620
20,1421939.1146999998,1278832.2487,143106.866,General and operations managers,20.0,11-1021,,,3584420
5000,1391855.5754,1249640.8785,142214.6969,First-Line supervisors of office and administrative support workers,5000.0,43-1011,,,1495580
5860,1368449.0508,1214829.7378,153619.313,"Office clerks, general",5860.0,43-9061,,,2510550
4251,1313507.3786,805733.2088,507774.1698,Landscaping and groundskeeping workers,4251.0,37-3011,,,943430
5400,1312472.5186,1149901.6553,162570.8633,Receptionists and information clerks,5400.0,43-4171,,,964530
310,1294423.9845,985211.0706,309212.9139,Food service managers,310.0,11-9051,,,244230
220,1264855.8526,1059255.7125,205600.1401,Construction managers,220.0,11-9021,,,348330
8990,1254470.7532,921234.3803,333236.3729,Other production workers,8990.0,51-91XX,,,1432970
5120,1223282.2234999998,1043397.8908,179884.3327,"Bookkeeping, accounting, and auditing clerks",5120.0,43-3031,,,1455770
6230,1206902.7152,768451.0455,438451.6697,Carpenters,6230.0,47-2031,,,697740
1108,1194025.4192,948408.759,245616.6602,"Computer occupations, all other",1108.0,15-1299,,,439380
2100,1173167.8333,1067444.1387,105723.6946,Lawyers,2100.0,23-1011,,,747750
230,1151989.4803,1012230.9013,139758.579,Education and childcare administrators ,230.0,11-9030,,,621000
705,1144521.1844,974331.5157,170189.6687,Project management specialists,705.0,13-1082,,,1006160
4920,1128809.2298,921653.6028,207155.627,Real estate brokers and sales agents,4920.0,41-9020,,,240190
4600,1121113.056,753782.6904,367330.3656,Childcare workers,4600.0,39-9011,,,520180
4850,1103120.3050000002,964531.5306,138588.7744,"Sales representatives, wholesale and manufacturing",4850.0,41-4010,,,1560790
2360,1102001.301,927821.2495,174180.0515,Other teachers and instructors,2360.0,25-30XX,,,1125750
4055,1091949.636,981647.5467,110302.0893,Fast food and counter workers,4055.0,35-3023,,,3780930
6355,1088687.4471,913704.3862,174983.0609,Electricians,6355.0,47-2111,,,742580
2205,1076538.4299,776626.6873,299911.7426,Postsecondary teachers,2205.0,25-1000,,,0
4030,1071744.3728,759425.2284,312319.1444,Food preparation workers,4030.0,35-2021,,,888770
3930,1070393.9453,940189.1708,130204.7745,Security guards and gambling surveillance officers,3930.0,33-9030,,,1251770
710,1063557.726,903597.2013,159960.5247,Management analysts,710.0,13-1111,,,893900
