state_abbr,state_name,total_lf,native,foreign
AL,Alabama,2391496.9051,2255264.6519,136232.2532
AK,Alaska,353489.85219999996,321164.8058,32325.0464
AZ,Arizona,3836443.1758000003,3153013.9479,683429.2279
AR,Arkansas,1414157.1032,1287322.8782,126834.225
CA,California,19937851.7835,13461684.3967,6476167.3867999995
CO,Colorado,3249012.9042999996,2634964.0275,614048.8768
CT,Connecticut,1938336.9897,1494262.9841,444074.00560000003
DE,Delaware,520318.4232,444514.4254,75803.9978
DC,District of Columbia,409630.74899999995,344701.4665,64929.2825
FL,Florida,11048375.4807,7776424.8105,3271950.6702
GA,Georgia,5454446.4389,4572998.1955,881448.2434
HI,Hawaii,669844.6783,493858.9074,175985.7709
ID,Idaho,986767.7684,883117.8215,103649.9469
IL,Illinois,6522270.8733,5246222.3066,1276048.5667
IN,Indiana,3544692.7729,3247582.4153,297110.3576
IA,Iowa,1742701.6642,1567608.4718,175093.1924
KS,Kansas,1507142.6591,1324454.5741,182688.085
KY,Kentucky,2149345.6791,1962049.1628999999,187296.5162
LA,Louisiana,2103492.9112,1908506.6009,194986.3103
ME,Maine,714920.2532,680278.657,34641.5962
MD,Maryland,3234694.7656,2356109.4019,878585.3637
MA,Massachusetts,4019547.2235000003,3095053.916,924493.3075
MI,Michigan,5042737.038299999,4606071.8292,436665.2091
MN,Minnesota,3156360.2318,2804355.1894,352005.0424
MS,Mississippi,1268692.7097,1204982.3391,63710.3706
MO,Missouri,3144978.4225999997,2889699.7309,255278.6917
MT,Montana,570455.5079,557295.2194,13160.288499999999
NE,Nebraska,1108502.8273999998,973459.9134,135042.914
NV,Nevada,1694731.8553,1181299.8128,513432.0425
NH,New Hampshire,757458.8319000001,656509.3749,100949.457
NJ,New Jersey,4790585.727299999,3294063.5393,1496522.188
NM,New Mexico,983343.9552,855432.3936,127911.5616
NY,New York,9862341.1971,7136868.2547,2725472.9424
NC,North Carolina,5259546.6028,4527726.5157,731820.0871
ND,North Dakota,427589.75850000005,401458.08520000003,26131.673300000002
OH,Ohio,5894969.8101,5364280.2998,530689.5103
OK,Oklahoma,1992785.0548,1791844.5933,200940.4615
OR,Oregon,2225941.9921999997,1996857.8512,229084.141
PA,Pennsylvania,6543924.1998000005,5826326.0568,717598.143
RI,Rhode Island,596333.607,474807.6563,121525.9507
SC,South Carolina,2674572.3092,2412350.252,262222.0572
SD,South Dakota,506403.3453,484013.087,22390.2583
TN,Tennessee,3541706.27,3220656.9778,321049.29219999997
TX,Texas,15849548.876899999,11970998.9927,3878549.8842
UT,Utah,1809214.5352999999,1564410.6008,244803.9345
VT,Vermont,349709.4606,332885.6959,16823.7647
VA,Virginia,4351296.4381,3615933.3576,735363.0805
WA,Washington,3893515.2441000002,3037613.8831,855901.361
WV,West Virginia,785159.4295,765657.9171,19501.5124
WI,Wisconsin,3096886.2293,2820068.3227,276817.9066
WY,Wyoming,287680.3385,266292.2048,21388.1337
