2018 SOC Code,2018 SOC Title,2018 Census Code,2018 Census Title ,occ2018,total_lf,native,foreign
11-1011,Chief Executives,0010,Chief executives,0010,1661377.0483,1413646.2555,247730.79280000002
11-1021,General and Operations Managers,0020,General and operations managers,0020,1421939.1146999998,1278832.2486999999,143106.866
11-1031,Legislators,0030,Legislators,,,,
11-2011,Advertising and Promotions Managers,0040,Advertising and promotions managers,0040,54634.782400000004,43641.2626,10993.5198
11-2021,Marketing Managers,0051,Marketing managers,0051,664517.0776999999,577422.2782,87094.79950000001
11-2022,Sales Managers,0052,Sales managers,0052,531757.6537,455671.2085,76086.4452
11-2032,Public Relations Managers,0060,Public relations and fundraising managers,0060,133912.7612,133356.3059,556.4553
11-2033,Fundraising Managers,0060,Public relations and fundraising managers,0060,133912.7612,133356.3059,556.4553
11-3012,Administrative Services Managers,0101,Administrative services managers,0101,114396.0907,99447.3241,14948.766599999999
11-3013,Facilities Managers,0102,Facilities managers,0102,118738.4303,103899.81300000001,14838.6173
11-3021,Computer and Information Systems Managers,0110,Computer and information systems managers,0110,709911.9410999999,539689.8347,170222.1064
11-3031,Financial Managers,0120,Financial managers,0120,1446354.456,1219555.5672,226798.88880000002
11-3051,Industrial Production Managers,0140,Industrial production managers,0140,328040.56889999995,281144.4137,46896.1552
11-3061,Purchasing Managers,0150,Purchasing managers,0150,217737.78720000002,195662.6006,22075.1866
11-3071,"Transportation, Storage, and Distribution Managers",0160,"Transportation, storage, and distribution managers",0160,399296.8175,303947.6664,95349.1511
11-3111,Compensation and Benefits Managers,0135,Compensation and benefits managers,0135,21513.6819,21513.6819,0.0
11-3121,Human Resources Managers,0136,Human resources managers,0136,320956.2605,286556.608,34399.6525
11-3131,Training and Development Managers,0137,Training and development managers,0137,64169.789000000004,64169.789000000004,0.0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0205,"Farmers, ranchers, and other agricultural managers",0205,722817.0606999999,709330.7775,13486.2832
11-9021,Construction Managers,0220,Construction managers,0220,1264855.8525999999,1059255.7125,205600.1401
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0230,Education and childcare administrators ,0230,1151989.4803,1012230.9013,139758.579
11-9032,"Education Administrators, Kindergarten through Secondary",0230,Education and childcare administrators ,0230,1151989.4803,1012230.9013,139758.579
11-9033,"Education Administrators, Postsecondary",0230,Education and childcare administrators ,0230,1151989.4803,1012230.9013,139758.579
11-9039,"Education Administrators, All Other",0230,Education and childcare administrators ,0230,1151989.4803,1012230.9013,139758.579
11-9041,Architectural and Engineering Managers,0300,Architectural and engineering managers,0300,188167.0414,132240.2614,55926.78
11-9051,Food Service Managers,0310,Food service managers,0310,1294423.9845,985211.0706,309212.9139
11-9071,Gambling Managers,0335,Entertainment and recreation managers,0335,74019.5924,61165.6416,12853.950799999999
11-9072,"Entertainment and Recreation Managers, Except Gambling",0335,Entertainment and recreation managers,0335,74019.5924,61165.6416,12853.950799999999
11-9081,Lodging Managers,0340,Lodging managers,0340,109961.2221,97588.4026,12372.8195
11-9111,Medical and Health Services Managers,0350,Medical and health services managers,0350,961240.3167,821776.4267,139463.89
11-9121,Natural Sciences Managers,0360,Natural sciences managers,0360,63007.6264,57872.7558,5134.8706
11-9131,Postmasters and Mail Superintendents,0400,Postmasters and mail superintendents,,,,
11-9141,"Property, Real Estate, and Community Association Managers",0410,"Property, real estate, and community association managers",0410,846995.1854,741027.6207,105967.56469999999
11-9151,Social and Community Service Managers,0420,Social and community service managers,0420,482998.05079999997,404611.3896,78386.6612
11-9161,Emergency Management Directors,0425,Emergency management directors,0425,22863.1405,22863.1405,0.0
11-9171,Funeral Home Managers,0325,Funeral home managers,,,,
11-9179,"Personal Service Managers, All Other",0426,"Personal service managers, all other",,,,
11-9199,"Managers, All Other",0440,"Managers, all other",0440,5801135.97,4808726.5324,992409.4376000001
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0500,"Agents and business managers of artists, performers, and athletes",0500,64327.3226,59609.7688,4717.5538
13-1021,"Buyers and Purchasing Agents, Farm Products",0510,"Buyers and purchasing agents, farm products",0510,12003.8925,12003.8925,0.0
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0520,"Wholesale and retail buyers, except farm products",0520,210526.42070000002,190463.0584,20063.3623
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0530,"Purchasing agents, except wholesale, retail, and farm products",0530,326752.536,287475.6127,39276.9233
13-1031,"Claims Adjusters, Examiners, and Investigators",0540,"Claims adjusters, appraisers, examiners, and investigators",0540,377569.4816,345010.0335,32559.4481
13-1032,"Insurance Appraisers, Auto Damage",0540,"Claims adjusters, appraisers, examiners, and investigators",0540,377569.4816,345010.0335,32559.4481
13-1041,Compliance Officers,0565,Compliance officers,0565,323550.8774,270691.3959,52859.4815
13-1051,Cost Estimators,0600,Cost estimators,0600,183747.3682,161312.4385,22434.9297
13-1071,Human Resources Specialists,0630,Human resources workers,0630,858244.3167999999,761338.8239,96905.4929
13-1074,Farm Labor Contractors,0630,Human resources workers,0630,858244.3167999999,761338.8239,96905.4929
13-1075,Labor Relations Specialists,0630,Human resources workers,0630,858244.3167999999,761338.8239,96905.4929
13-1081,Logisticians,0700,Logisticians,0700,202811.02730000002,176555.3471,26255.6802
13-1082,Project Management Specialists,0705,Project management specialists,0705,1144521.1844,974331.5157,170189.6687
13-1111,Management Analysts,0710,Management analysts,0710,1063557.726,903597.2013,159960.5247
13-1121,"Meeting, Convention, and Event Planners",0725,"Meeting, convention, and event planners",0725,201440.98870000002,188637.3849,12803.6038
13-1131,Fundraisers,0726,Fundraisers,0726,71756.7352,71329.2083,427.5269
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0640,"Compensation, benefits, and job analysis specialists",0640,69616.43519999999,66323.9849,3292.4503
13-1151,Training and Development Specialists,0650,Training and development specialists,0650,245881.30359999998,237072.6064,8808.697199999999
13-1161,Market Research Analysts and Marketing Specialists,0735,Market research analysts and marketing specialists,0735,523808.6094,422069.6826,101738.9268
13-1199,"Business Operations Specialists, All Other",0750,"Business operations specialists, all other",0750,610392.5995,534899.6794,75492.9201
13-2011,Accountants and Auditors,0800,Accountants and auditors,0800,1821506.6398,1485049.1454,336457.4944
